Instance,Makespan,Balanced Workload,Computation Time,Jobs,Machines,Operations
MFJS1,468,168,2.122091293334961,5,6,15
MFJS2,468,383,2.441215991973877,5,7,15
MFJS3,538,450,2.3464725017547607,6,7,18
MFJS4,651,362,2.2679662704467773,7,7,21
MFJS5,611,170,2.656388521194458,7,7,21
MFJS6,700,389,2.9325778484344482,8,7,24
MFJS7,1006,371,3.4745376110076904,8,7,32
MFJS8,979,529,6.951217412948608,9,8,36
MFJS9,1290,600,3.9798872470855713,11,8,44
MFJS10,1479,540,6.180589199066162,12,8,48
