Instance,Makespan,Balanced Workload,Computation Time,Jobs,Machines,Operations
MFJS1,670,131,2.1459789276123047,5,6,15
MFJS2,637,206,1.9903552532196045,5,7,15
MFJS3,774,216,2.82150936126709,6,7,18
MFJS4,760,425,2.642820119857788,7,7,21
MFJS5,659,266,2.541361093521118,7,7,21
MFJS6,940,374,2.8763813972473145,8,7,24
MFJS7,1553,245,3.447469711303711,8,7,32
MFJS8,1400,462,4.02268385887146,9,8,36
MFJS9,1621,553,8.723019361495972,11,8,44
MFJS10,1795,855,4.9452526569366455,12,8,48
