Instance,Makespan,Computation Time,Jobs,Machines,Operations
MFJS1,507,1.7239654064178467,5,6,15
MFJS2,469,1.221160650253296,5,7,15
MFJS3,548,1.7096667289733887,6,7,18
MFJS4,662,1.809105396270752,7,7,21
MFJS5,611,1.9481415748596191,7,7,21
MFJS6,734,2.357113838195801,8,7,24
MFJS7,1015,3.323770523071289,8,7,32
MFJS8,1060,3.745300769805908,9,8,36
MFJS9,1323,5.778552770614624,11,8,44
MFJS10,1484,4.858259439468384,12,8,48
