Instance,Makespan,Balanced Workload,Computation Time,Jobs,Machines,Operations
MFJS1,553,68,1.5810484886169434,5,6,15
MFJS2,532,171,1.716181993484497,5,7,15
MFJS3,579,61,4.40371036529541,6,7,18
MFJS4,674,158,2.8881452083587646,7,7,21
MFJS5,706,121,2.2228899002075195,7,7,21
MFJS6,684,152,2.5600903034210205,8,7,24
MFJS7,1075,80,4.124726057052612,8,7,32
MFJS8,1173,73,3.7499654293060303,9,8,36
MFJS9,1313,363,3.9375691413879395,11,8,44
MFJS10,1762,270,4.5308592319488525,12,8,48
