Instance,Makespan,Balanced Workload,Computation Time,Jobs,Machines,Operations
MFJS1,468,168,2.1502685546875,5,6,15
MFJS2,469,383,1.771347999572754,5,7,15
MFJS3,496,224,1.861023187637329,6,7,18
MFJS4,651,362,2.280177354812622,7,7,21
MFJS5,604,360,5.243213176727295,7,7,21
MFJS6,709,193,2.7464163303375244,8,7,24
MFJS7,962,384,3.353149652481079,8,7,32
MFJS8,1050,480,3.422980785369873,9,8,36
MFJS9,1288,610,4.160227060317993,11,8,44
MFJS10,1461,700,4.631151914596558,12,8,48
