Instance,Makespan,Balanced Workload,Computation Time,Jobs,Machines,Operations
MFJS1,553,70,1.8128290176391602,5,6,15
MFJS2,470,116,1.8275926113128662,5,7,15
MFJS3,554,89,2.0571916103363037,6,7,18
MFJS4,662,143,2.202468156814575,7,7,21
MFJS5,608,122,2.070124864578247,7,7,21
MFJS6,722,164,2.455251932144165,8,7,24
MFJS7,1121,68,2.9651291370391846,8,7,32
MFJS8,1232,100,3.5546422004699707,9,8,36
MFJS9,1284,533,5.770319700241089,11,8,44
MFJS10,1688,325,4.506334066390991,12,8,48
