Instance,Makespan,Computation Time
MFJS1,471,1.395826816558838
MFJS2,469,1.541327953338623
MFJS3,573,2.2812862396240234
MFJS4,662,2.185880661010742
MFJS5,608,2.0081284046173096
MFJS6,755,1.9986567497253418
MFJS7,1015,2.486450433731079
MFJS8,1042,2.970858573913574
MFJS9,1314,3.9972341060638428
MFJS10,1547,4.814018964767456
